,0,1,2,3,4,5,6,7
329,Cuchillo de Palo,Año: 2010,"País:: España, Paraguay",Seguinos en:,95,Drama,"
Renate Costa ","
Renate Costa "
330,Cud. No Ser Dios Y Cuidarlos,Año: 2008,País:: Argentina,Seguinos en:,Largometraje,"
Juan Carlos Andrade ,             Dieguillo Fernández ","
Juan Carlos Andrade ,             Dieguillo Fernández ","
Federico Gómez  "
331,Cuentas del alma,Año: 2011,País:: Argentina,"En 1975, en combate con una patrulla del ejército argentino, la guerrillera Miriam P es herida y capturada. Para salvar su vida acepta hacer una declaración pública de arrepentimiento en una conferencia de prensa. En 2008, en Israel, la entrevisté y hablamos sobre estos acontecimientos de su vida que resumen la travesía y el destino de toda una generación.",65,Documental,"
Mario Bomheker ",
332,Cuento chino clasista y combativo,Año: 2010,País:: Argentina,"Un médico desde su humilde sala de salud, en la periferia de la Matanza, ha inventado un sistemamédico que, apoyado en los recursos humanos del barrio, y casi sin apoyo estatal logra dar cobertura miles de personas. Y a su vez es un rebelde que cree que la lucha es constante e inclaudicable,que se construye día tras día, que en esa cotidianeidad a logrado ser importante para los demásy sabe que su vida carecería totalmente de sentido sin estar totalmente jugado por lo que cree.Aunque en el fondo, intuye que una VÍCTORia es improbable.",90,Documental,"
Pepe Salvia ",
333,Cuentos Cardinales,Año: 2008,País:: Argentina,Seguinos en:,80,Documental,"
Martino Zaidelis ","
Martino Zaidelis "
334,"Cuerpo a Tierra, Niños Soldados Del Paraguay",Año: 2008,País:: Paraguay,Seguinos en:,Mediometraje,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
",
335,Cuica de Santo Amaro,Año: 2013,País:: Brasil,"Filme de memórias sobre figura mítica da Bahia, lenda da cidade de Salvador, onde atua intensamente nos anos 1940/50 e início da década de 1960. Cuíca de Santo Amaro atenta contra o pudor e brada contra a hipocrisia, revela em praça pública segredos de alcova e trapaças de ricos marreteiros. “Comigo não tem bronca”, garante.",35mm,Largometraje,Documental,"
Joel de Almeida,              Josias Pires "
336,Cuidado con los trenes,Año: 2011,País:: Argentina,"En 1978 se cierran los talleres ferroviarios de Cruz del Eje (provincia de Córdoba) produciendo ungran impacto social económico y geográfico. Hoy, un complejo jurídico carcelario instalado dondefuncionaba el taller promete la reactivación de la zona. Las consideraciones sobre el espacio, laidentidad y los valores se ponen en juego en la voz de los ferroviarios y vecinos.",90,Documental,"
Verónica Rocha ",
337,Curitiba Zero Grau,Año: 2012,País:: Brasil,"Cosmopolita e provinciana, Curitiba pode ser uma boa síntese de conflitos. Através das histórias de quatro personagens que não se conhecem, mas têm seus destinos entrelaçados – um comerciante de automóveis, um motoboy, um motorista de ônibus e um catador de papel – o filme é uma crônica sobre a luta diária pela sobrevivência.",35mm,Largometraje,Drama,"
Eloi Pires Ferreira "
338,Cyrano Fernández,Año: 2008,País:: Venezuela,"Versión libre y descarnada de la novela Cyrano de Bergèrac. Cyrano, Roxana y Cristian protagonizan un triángulo amoroso que se desarrolla en uno de los más peligrosos e impactantes escenarios urbanos del mundo; de laberínticas veredas y empinadas escaleras, el barrio de San Miguel en Caracas, el más grande de Latinoamérica, donde millones de personas se apiñan en sus favelas. ",Ficción,https://www.youtube.com/watch?v=s3lIZxce86E,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
339,D-humanos,Año: 2011,País:: Argentina,"A 63 años de la declaración universal de derechos humanos, 9 relevantes directores argentinosdeciden emprender una compleja tarea, reflejar el estado de estos derechos en su país. Los nuevecortometrajes documentales creativos que integran la película son reflejo de nuestro país y sugente, de nuestra idiosincrasia, problemáticas y anhelos. Y, también, un modo de divulgar losalcances e importancia de esta Declaración, que significa apostar a su cumplimiento, y a queexista para todos.",93,Documental,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
340,D.F. (Destino Final),Año: 2008,País:: Uruguay,"D.F (Destino Final) es un documental sobre Héctor Gutiérrez Ruiz, el Toba, presidente de la Cámara de Diputados del Uruguay, asesinado en Argentina durante la dictadura militar en su país. Exiliado en Buenos Aires por su permanente denuncia contra el gobierno y los crímenes cometidos por militares uruguayos, fue secuestrado en mayo de 1976 y es encontrado muerto dentro de un auto junto al ex senador Zelmar Michellini, relevante figura de la política uruguaya. Dirigido por su hijo, Mateo Gutiérrez, el documental propone un acercamiento íntimo a la persona del Toba, más allá del personaje político. Se trata de un hijo en busca de su padre y en busca de explicaciones que ayuden a comprender una historia reciente no contada y enterrada.",HDV,Largometraje,Documental,"
Mateo Gutiérrez "
341,Danza Porca,Año: 2008,"País:: Argentina, Francia","Recién llegada del campo, la joven Marita consigue trabajo como enfermera en el asilo para desfavorecidos mentales del Dr. Bhrams. Inspirada por el deseo de ayudar al prójimo, Marita se enfrenta a la desidia y virulencia de su empleador y a la desesperanza y miseria moral de sus pacientes. Un choque con la realidad que la llevará desde su autoimpuesto rol de samaritana hasta la aniquilación de todo humanismo, en ella y en los que la rodean, porque como reza la premisa del film: cuando las personas sienten demasiado el sufrimiento se vuelven brutales.",90,Ficción,"
Mariano Torres Manzur ",
342,"Dawson, Isla 10 ",Año: 2009,"País:: Brasil, Chile",   Benjamín Vicuña   Bertrand Duarte   Pablo Krögh   Cristián de la Fuente   Sergio Hernández   Luis Dubó   Caco Monteiro   Horacio Videla   Matías Vega   Alejandro Goic   Mario Bustos   Enrique Espíldora   Víctor Hugo Ogaz   Juan Carlos Brown   Daniel Antivilo   Ramón González   Raúl Sendra   Luis Bravo   Sergio Allard   Nicolás Klein   Guillermo Salinas   Iván Fuentes   Javier Valiño   Daniel Alcaíno   Andrés Skoknik   Elvis Fuentes  ,100,"
Miguel Littin ","
Miguel Littin ","
   Benjamín Vicuña   Bertrand Duarte   Pablo Krögh   Cristián de la Fuente   Sergio Hernández   Luis Dubó   Caco Monteiro   Horacio Videla   Matías Vega   Alejandro Goic   Mario Bustos   Enrique Espíldora   Víctor Hugo Ogaz   Juan Carlos Brown   Daniel Antivilo   Ramón González   Raúl Sendra   Luis Bravo   Sergio Allard   Nicolás Klein   Guillermo Salinas   Iván Fuentes   Javier Valiño   Daniel Alcaíno   Andrés Skoknik   Elvis Fuentes   "
343,De cerca nadie es normal,Año: 2008,País:: Argentina,"Primera película argentina enteramente improvisada.Trece amigos se encuentran a festejar el cumpleaños deVicky. Esta es la primera vez que muchos de ellos se vuelvena ver. Los resentimientos, las culpas, el dolor y las ficcionesde la memoria se van develando a lo largo de la noche. Pocoantes de soplar las velitas comprendemos que el hermanode Vicky había muerto en un accidente de auto durante elfestejo de su cumpleaños… tres años antes.De cerca nadie es normal es una película acerca del amory la soledad, y de cómo tendemos a sufrir por nuestrosinfructuosos intentos por escapar al dolor.",84,Comedia,"
Marcelo Mosenson ",
344,"De los barrios, arte",Año: 2011,País:: Argentina,"Artistas plásticos de los barrios del oeste de la ciudad de Buenos Aires nos cuentan sus vidasligadas al arte, donde tratan temas como el aprendizaje constante, el legado de sus maestros, lainfluencia del barrio, sus similitudes y divergencias, las dificultades económicas de la actividadartística y la necesidad de ser queridos. Estos son algunos de los temas que componen esta miradadiferente de un grupo de artistas-vecinos de algunos barrios porteños.",65,Documental,"
Fernando Martín Romanazzo ",
345,De martes a martes,Año: 2012,País:: Argentina,"Juan Benitez tiene como hobbie la musculación. Despues de entrenar por las mañanas, trabaja todo el dìa en una fábrica donde, a pesar de su enorme y musculoso físico, es ninguneado por sus compañeros y humillado por su jefe. Su sueño es dejar la fábrica y ser dueño de su propio gimnasio, pero su realidad económica no se lo permite. Una noche Juan es testigo involuntario de la violación de una chica que él conoce. En vez de ayudarla, se queda perplejo sin hacer nada. Luego investiga por sus medios y descubre que el violador es un importante empresario. Se le plantea un dilema entre lo moral y la posibilidad de obtener su sueño.",35mm,Largometraje,Drama,"
Gustavo Triviño "
346,De menor,Año: 2014,País:: Brasil,"A advogada Helena divide sua rotina entre o trabalho como Defensora pública de crianças e adolescentes e os cuidados com o jovem Caio, com quem vive uma relação de cumplicidade e harmonia – até o momento em que Caio comete um delito.",77,Drama,"
Caru Alves de Souza ","
Rita Batata Giovanni Gallo Caco Ciocler Rui Ricardo Diaz "
347,"De repente, la Película",Año: 2011,País:: Venezuela,"Un productor cinematográfico norteamericano viene a filmar a Venezuela una película que se titula “DE REPENTE, LA PELÍCULA”. Contrata a un director venezolano para que dirija el filme que se rueda en la selva amazónica. Como las condiciones son extremas, el productor acepta que el equipo se mude para Caracas para continuar allí la filmación recreando la selva en la ciudad. Suceden situaciones extrañas en el set: un tenor muere asfixiado, la policía investiga. Un crítico de cine aprecia el estilo original del filme y lo tilda de “locura buenísima…”. A través de la ventana de su hotel, cae a su muerte. Un indígena asesina al asistente de dirección. Cuatro ladrones intentan robarse las cámaras pero son vencidos por un experto karateca homosexual. La compañía de seguros ofrece una recompensa al que descubra que las muertes han sido asesinatos y no accidentes. Un actor fallece después de ser picado por una serpiente. Llueven pirañas. El camarógrafo y la foquista. recogen un paquete que explota. En una rueda de prensa, el productor acusa al director y a su asistente de las muertes. Surge una  “sombra de un espectador” que propone cobrar parte de la recompensa. El efectista y el productor son parte de una banda de delincuentes que venden armas y cocaína bajo el encubrimiento del cine. Ambos deciden huir de Venezuela y continuar su estafa en otro continente. El asegurador divide la prima entre técnicos y actores. Todos bailan, frente a una selva pintada, un Calypso del Callao al estilo Bollywood",Comedia,https://www.youtube.com/watch?v=6SfSretRfBA,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
348,Debut ,Año: 2009,País:: Chile,   Mosé Noé   Lisette Sobarzo   Pepe Cifuentes   Ronald Smith   Pedro Pavez   Germán Letelier  ,66,"
Andrés Nazarala ","
Andrés Nazarala ","
   Mosé Noé   Lisette Sobarzo   Pepe Cifuentes   Ronald Smith   Pedro Pavez   Germán Letelier   "
349,Decile a Mario que no Vuelva,Año: 2008,País:: Uruguay,"Después de un largo exilio, Mario Handler vuelve al país donde nació. Percibe que a pesar de que han pasado muchos años, la dictadura sigue presente en los medios, en la opinión pública y sobre todo en la memoria de la gente. La obra registra el testimonio de esa gente, de policías, colaboradores y militares, entre ellos, el Jefe de Inteligencia, quien por primera vez, habla sobre aquellos años. Con poesía, humor negro y conciencia aguda, el documental evoca una atmósfera precisa y densa de esa época oscura del Uruguay.",DV Cam,Largometraje,Documental,"
Mario Handler "
350,DELTA,Año: 2014,País:: Argentina,"Todo comienza la noche en que Jere y Nacho, dos chicos de barrio, deciden por primera vez ira comprar cocaína al Delta (areá del río Paraná en Argentina, Buenos Aires) con el propósito derevenderla y ganarse unos pesos. Rápidamente las cosas se escapan de sus manos y terminanasesinando accidentalmente al dealer. Están solos, en una isla, con un muerto, rodeados decocaína y un gran problema, los próximos clientes están por llegar.",Video,Largometraje,Ficción,"
PAULA ORLANDO,             VICTORIA ARCASTI,             CAROLINA PORTE,             CARLA FINCO,             PABLO ARELLANO,             MANUEL CACHO-SOUSA,             MARTÍN PROAÑO "
351,Democracia em preto e branco,Año: 2014,País:: Brasil,"Tendo como pano de fundo a lendária Democracia Corinthiana, o nascimento das bandas de rock brasileiras e a campanha das Diretas Já, o filme mostra como o esporte, a política e a música se encontraram para mudar o rumo da história do país.",87,Documental,"
Pedro Asbeg ",www.youtube.com/watch?v=ycseTWznp74
352,Departyd,Año: 2008,País:: Chile,   Domingo Guzmán   Siboney Lo   François Soto  ,100,"
Patricio Valladares ","
Andrea Cavaletto ","
   Domingo Guzmán   Siboney Lo   François Soto   "
353,Depois da chuva,Año: 2015,País:: Brasil,"Salvador, Bahia, 1984. Após vinte anos de ditadura, a população vai às ruas exigir a volta das eleições diretas para Presidente da República. Esse será um ano de transformação para o jovem Caio.",95,Drama,"
Cláudio Marques,             Marília Hughes ","
AÍCHA MARQUES, MATEUS DANTAS, PAULA CARNEIRO DIAS, PEDRO MAIA, RICARDO PISANI, SOPHIA CORRAL, TALIS CASTRO, VICTOR CORUJEIRA, ZECA ABREU "
354,"Depois de Ontem, Antes de Amanhã",Año: 2010,País:: Brasil,Seguinos en:,Largometraje,"
Christine Liu  ","
Daniela Capelato ",
355,DERECHO DE PISO,Año: 2014,País:: Argentina,"Daniela, de 22 años decide dejar la casa de sus padres en rosario, para ir a Buenos Aires enbusca de trabajo y aventuras, pero las expectativas no son las ideales y deberá enfrentar unduro camino.",DCP,Largometraje,Drama,"
Cinthya Glezer "
356,Des-Autorizados,Año: 2010,País:: Venezuela,"En medio de una Caracas irreal, Elia K. inicia un viaje fantástico hacia lo profundo de su imaginación, en donde Elías, el autor de la obra teatral Amantes sin destino, se debate entre escribir lo que no quiere o afrontar las consecuencias de su libertad. Al final, un giro sorprendente enfrenta a Elías con sus personajes y su costado más oscuro y a Elia K. con el resultado de su creación",Drama,https://www.youtube.com/watch?v=_VewJ6VR06k,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
357,Desaparecidos,Año: 2011,País:: Brasil,"Uma festa vip, em Ilhabela, litoral paulista: seis amigos desaparecem misteriosamente. Dias depois de desaparecerem sem explicação, as autoridades encontram seis câmeras abandonadas na mata que revelam imagens aterrorizantes do que realmente aconteceu.",73,Terror,"
David Schurmann ","
Charlene Chagas, Natalia Vidal, Pedro Urizzi, André Madrini, Fernanda Peviani, Adriana Veraldi, Francisco Carvalho, Eliot Tosta  "
358,Desbordar,Año: 2011,País:: Argentina,"El film “Desbordar” está basado en una historia real que tuvo lugar a fines de la década del ’80,donde un grupo de psicólogos creó un taller de escritura en un Hospital Neuropsiquiátrico dondese generó la revista “Desbordar”.En la revista -que se vendía en los kioscos de diarios- escribían los propios internos, personalidadesde la cultura, académicos y médicos de la salud mental, dejando así una importante huella en estecampo durante los años que se editó, e incluso hasta el presente.",110,Comedia Dramática,"
Alex Tossenberger ",
359,Desde adentro,Año: 2012,País:: Uruguay,"Dos reclusos en la cárcel de Canelones pelean por un futuro mejor liderando un programa de rehabilitación voluntaria. Entre los años 2006 y 2009, Desde Adentro registra las historias personales de Catuca y Medina y los pormenores de la vida cotidiana en la cárcel: la relación con la autoridad, las instituciones y la tensión entre el trabajo colectivo y el camino individual van marcando el destino de este grupo de hombres que un día decidieron cambiar.",87,Documental,"
Aránzazu Elola ",https://www.youtube.com/watch?v=V1aok3jcPhc
360,Desde El Corazón ,Año: 2009,País:: Chile,   Pablo Díaz   Francisca Eyzaguirre   Julio Jung   Alejandro Trejo   César Arredondo   Gabriela Medina   Edison Díaz   Oliver Castro  ,80,"
Edgardo Viereck ","
Isabel Troncoso,             Edgardo Viereck ","
   Pablo Díaz   Francisca Eyzaguirre   Julio Jung   Alejandro Trejo   César Arredondo   Gabriela Medina   Edison Díaz   Oliver Castro   "
361,Desde las Aguas,Año: 2008,País:: Uruguay,"Villa Santo Domingo de Soriano fue fundada en 1624, por los primeros pobladores de la Banda Oriental. El documental redescubre el poblado en la voz de sus habitantes, testigos del silencioso Río Negro. La realidad del pueblo reflejo de la identidad de un país, que intenta recuperar lo que alguna vez fue, sin renunciar a prosperar.",DV,Largometraje,Documental,"
Pablo Martínez Pessi  "
362,Deserto Feliz,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Paulo Caldas  ","
Paulo Caldas ,             Marcelo Gomes,             Manoela Dias,             Xico Sá ",
363,Deshora,Año: 2013,"País:: Argentina, Colombia, Noruega","Ernesto y Helena llevan muchos años casados y viven en una finca tabacalera en el noroesteargentino. Un día, reciben a Joaquín, el primo casi desconocido de ella recién salido de unarehabilitación, que ha sido enviado por su familia a pasar un tiempo allí. La dificultad paraconcebir un hijo ha sumido al matrimonio en una obsesión y en la pérdida de deseo. Lanueva presencia es para Helena la oportunidad de reinventarse y para Ernesto, oxígeno. Untriángulo amoroso que comenzará a tomar forma entre la cacería, la riña de gallos y la vidaen la finca. El deseo puede también tomar la forma de una profunda violencia.",DCP,Largometraje,Drama,"
Barbara Sarasola Day "
364,Desierto Sur ,Año: 2008,País:: Chile,   Marta Etura   Carolina Varleta   Alejandro Botto   Ernesto Malbrán   Héctor Morales   Héctor Noguera   Carmela Porch  ,100,"
Shawn Garry  ","
Trinidad Jiménez ","
   Marta Etura   Carolina Varleta   Alejandro Botto   Ernesto Malbrán   Héctor Morales   Héctor Noguera   Carmela Porch   "
