,0,1,2,3,4,5,6,7
0,"1, 2 y 3 mujeres",Año: 2008,País:: Venezuela,"1, 2 y 3 Mujeres, aborda el tema de la mujer y su relación con el entorno social y geográfico desde diferentes perspectivas y propuestas estéticas través de las historias de Eloína, Rosario y Gregoria. Eloína, muestra la grandeza y el valor de asumir determinadas posiciones en el rol de madre. Rosario deja la experiencia de la candidez a la mujer en el contexto de la soledad y Gregoria muestra la debilidad versus la fortaleza y el ímpetu en la toma de decisiones para garantizar una estabilidad emocional","
Andrea Ríos ","

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
",,"
        Ene        "
1,10 Momentos de Felicidad,Año: 2007,País:: Argentina,"El Tigre Galván es un ex – boxeador (64 años) en el final de su carrera, que es convocadopor un club de barrio para que dé clases de boxeo. Está queriendo empezar a creeren sí mismo. Laura (20 años), nadadora, es la esperanza de ese club en la competencianacional; está en el comienzo de su carrera.",64,Ficción,"
Raúl Perrone ",
2,100% Lucha,Año: 2009,País:: Argentina,"Damián es un vecino y falso amigo de Viloni. Lo ha envidiado desde la niñez compartida y lo odiaobsesivamente, hasta la locura. Incapaz de soportar la popularidad de Vicente y aprovechandolos conocimientos que le brinda su profesión de Doctor en Biotecnología, decide producir clonesde los luchadores. De este modo pretende lograr un doble objetivo: enriquecerse vendiéndoloscomo ejército de invencibles a un traficante de mercenarios y destruir la imagen del héroe de VillaUrquiza a través del comportamiento vergonzoso de su clon.",83,Acción - Aventuras - Ciencia Ficción,"
Pablo Pares,             Paulo Soria ","
Turco Naim Carlos Kaspar Osvaldo Prícipi Eduardo Husni  "
3,12 de junho de 1993: o dia da paixão palmeirense,Año: 2014,País:: Brasil,"12 de junho de 1993, campeonato Paulista e, coincidentemente, dia dos namorados. Uma data que ficaria cravada na memória dos torcedores palmeirenses: Corinthians x Palmeiras, o que apimentou ainda mais as emoções dos torcedores pela história de rivalidade já conhecida entre os dois times",93,Documental,"
Jaime Queiroz,             Mauro Beting ",www.youtube.com/watch?v=Mitf0AY3tjU
4,"12 horas, 2 minutos",Año: 2012,País:: Uruguay,"Luego de dos años de espera y con el corazón funcionando a un 8% de su capacidad, llega un donante para Juan. 12 horas y 2 minutos transcurren desde ese llamado hasta el fin de la operación. Cinco historias componen un mensaje de esperanza transmitido por personas que tuvieron una segunda oportunidad de vivir.",HD,Largometraje,Documental,"
Luis Ara "
5,17 monumentos,Año: 2012,País:: Argentina,"A través de planos fijos y observación pura, el segundo largometraje de Jonathan Perel registralos monumentos que por ley se construyeron en aquellos lugares en donde funcionaron los centrosde detención y tortura durante la última dictadura militar, en toda la Argentina. El primer planode la película enseña un instructivo de cómo debía ser construido cada uno de los monumentos.Los diecisiete planos siguientes dan cuenta de las diversas interpretaciones de esa disposición, através de la rigurosa observación de los monumentos existentes hasta ahora.",Largometraje,"
Jonathan Perel ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
6,18 cigarrillos y medio,Año: 2010,País:: Paraguay,Seguinos en:,69,Drama,"
Marcelo Tolces ",
7,1811,Año: 2010,País:: Paraguay,Seguinos en:,Largometraje,"
Ramón Ramoa Salcedo ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
8,"1958, O Ano Em Que O Mundo Descobriu O Brasil",Año: 2008,País:: Brasil,"Didi ,Zagallo , Nilton Santos , Zito ,Dino ,Pepe ,Moacir , Djalma Santos ,Mazolla , Indio ",Largometraje,"
José Carlos Asbeg ","
Didi ,Zagallo , Nilton Santos , Zito ,Dino ,Pepe ,Moacir , Djalma Santos ,Mazolla , Indio  ",www.copa58.com.br
9,1983.. O Ano Azul,Año: 2009,País:: Brasil,Seguinos en:,Documental,"
Gustavo Fogaça ,             Carlos Gerbase ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
10,199 Recetas Para Ser Feliz ,Año: 2008,"País:: Chile, España",   Pablo Macaya   Tamara Garea   Andrea García-Huidobro   Alex Brendemühl   Jordi Dauder   ,90,"
Andrés Waissbluth ","
Nora Fernández ,             Marcelo Leonart ,             Cristián Jiménez ,             Andrés Waissbluth ","
   Pablo Macaya   Tamara Garea   Andrea García-Huidobro   Alex Brendemühl   Jordi Dauder    "
11,23 Anos em 7 segundos - O Fim do Jejum Corinthiano,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Di Moretti ","
Di Moretti ",
12,23 segundos,Año: 2014,País:: Uruguay,"Emiliano es un limpiavidrios de autos que trabaja en las calles de Montevideo. Un día estando en su cruce habitual, un incidente trágico sucede y conoce a Carina, una chica de clase alta y completamente diferente a él. Sus vidas se cruzan en el lugar y momento equivocado. Las circunstancias del momento lo llevarán a decidir qué hacer en una situación tan complicada.",112,Comedia Dramática,"
Dimitry Rudakov ",
13,24hs En La City,Año: 2008,País:: Argentina,"Lola Cordero, Rodrigo Aragón, Pablo Turchinsky, Jorge Velurtas,José Palomino Cortez, Nicolás Scarpino, Juan Palomino",82,Ficción,"
Matías Lago ,             Federico Rozemberg,             Jorge Bechara,             Andy Shakespear,             Ezio Massa ","
Matías Lago ,             Federico Rozemberg,             Jorge Bechara,             Andy Shakespear,             Ezio Massa "
14,3 millones,Año: 2011,País:: Uruguay,"Uruguay, un pequeño país con un pasado de gloria futbolística. Sudáfrica, el exótico escenario de la Copa del Mundo 2010. Los Roos, padre Jaime (músico uruguayo) e hijo Yamandú (fotógrafo holandés), deciden reencontrarse en el registro de esta aventura. El vínculo se afianza, las esperanzas crecen, los pronósticos se revierten. La realidad supera lo imaginado, el viaje se convierte en un documento único. 3 Millones es la aventura celeste contada por los Roos.",HD,Largometraje,Documental,"
Jaime Roos "
15,30,Año: 2010,País:: Paraguay,Seguinos en:,,,"
        Ene        ","
        Abr        "
16,"30.000 Razones para seguir buscando verdad, justicia y memoria",Año: 2009,País:: Argentina,"Este film es un retrato profundo de Nora Cortiñas, Madre de Plaza de Mayo L. F. quien ha vivido lapérdida de su hijo desaparecido en manos del Terrorismo de Estado. La Junta Militar instauradaen Argentina en 1976 fué solo una pieza de la Internacional del Terror que dejo como saldo: “milesde detenidos-desaparecidos, asesinados, presos políticos, exiliados, niños apropiados. La luchade los familiares y de las propias víctimas, nos ha permitido preservar la memoria y dar cuenta enforma contundente de la magnitud del genocidio sufrido en nuestro país; un país que aún busca laVerdad, la Justicia y la Memoria.",130,Documental,"
Soledad Gonnet ",
17,31 De Abril ,Año: 2009,País:: Chile,   Manuel Cubillos   Vera Puelma   Leonardo Cubillos   Tomás Cubillos   Cristián Cubillos   ,91,"
Víctor Cubillos ","
Víctor Cubillos ","
   Manuel Cubillos   Vera Puelma   Leonardo Cubillos   Tomás Cubillos   Cristián Cubillos    "
18,"31 Minutos, La Película ",Año: 2008,"País:: Brasil, Chile","Película infantil basada en el popular programa infantil de títeres. En esta historia se introduce a la malvada multimillonaria Cachirula, quien está obsesionada con completar su colección de animales extraños y para ello encarga a Tío Pelado traer a Juanín Juan Harry hasta su maléfica isla. Al enterarse del maquiavélico plan de Cachirula, el equipo de 31 minutos, encabezados por Tulio Triviño, inicia la aventura del rescate de su amigo Juanín.",35mm,Largometraje,Infantil,"
Pedro Peirano,             Álvaro Díaz  "
19,35º A Medias ,Año: 2009,País:: Chile, Francisca Selman   Loreto ,69,"
Daniela González,             Loreto Kiev ","
Daniela González,             Loreto Kiev ","
 Francisca Selman   Loreto  "
20,A,Año: 2012,País:: Argentina,"Dos mujeres se reencuentran luego de más de veinte años, desde que compartieran el colegioarmenio. Las historias de Ana Arzoumanian y Adriana Kalaidjian tomaron rumbos distintos, yhoy vuelven a cruzarse cuando emprenden juntas un diálogo que no sólo estructurará la película,sino que recorrerá sus vidas y los hechos familiares e históricos que las rodearon y marcaron:el genocidio armenio, la identidad, la dictadura militar, sus relaciones con los otros. Armeniay Argentina, la Triple A y Ararat, Ana y Adriana. Una sola letra en donde esconden numerosossignificados, y en una sola película la historia de dos vidas y de dos países.",118,Documental,"
Ignacio R. Dimattia ",
21,A 60km/h,Año: 2014,País:: Uruguay,"¿Qué pasa cuando llegas a los 50 y te das cuenta de que estás repitiendo los mismos errores de tus padres? ¿Qué fronteras estás dispuesto a cruzar? A sus 55 años, Mario dejó todo y decidió cambiar el estilo de vida. Restauró su Mehari de 1977 y partió, junto a sus 2 hijos, en un viaje de 150.000 Km, 45 países y 5 continentes que cambió sus vidas. ""A 60 km/h"", a través de entrevistas entrelazadas con las filmaciones de este viaje, nos habla de la familia, el sacrificio, la perseverancia, las convicciones y el valor de la palabra.",HD,Largometraje,Documental,"
Facundo Marguery "
22,A alma da gente,Año: 2013,País:: Brasil,"""A Alma da Gente"" é um documentário brasileiro, dirigido por Helena Solberg e David Meyer, que mostra os diferentes destinos de pessoas marcadas pela transformação através da arte. Seus personagens são os 60 adolescentes do Corpo de Dança da Maré, grupo coordenado pelo coreógrafo e educador Ivaldo Bertazzo no Complexo da Maré.",DCP,Largometraje,Documental,"
Helena Solberg,             David Meyer "
23,A Alma do Osso  ,Año: 2010,País:: Brasil,Seguinos en:,74,Documental,"
Cao Guimarães ","
Cao Guimarães "
24,A balada do provisório,Año: 2014,País:: Brasil,"Dois dias na vida de André Provisório, que ganha uns trocados como detetive particular, aviãozinho e sedutor cara-de-pau. Entre um biscate e outro, conhece Mariana – aspirante a atriz de teatro picareta experimental.",86,Comedia Romántica,"
Felipe David Rodrigues ","
Edson Zille, Clara Maria, Thiare Maia, Helena Ignez, Otávio III, Prazeres Barbosa, Keyna Eleison, Mauk, Igor Paiva, Felipe Cabral, Arthur Schmidt "
25,A Batalha do passinho,Año: 2013,País:: Brasil,"Surgido nas favelas cariocas, o passinho explodiu em 2008 e é a manifestação cultural carioca mais importante dos últimos 10 anos. Neste documentário, acompanhe de perto esse fenômeno e a evolução desse movimento.",Video,Largometraje,Documental,"
Emílio Domingos "
26,À Beira do Caminho,Año: 2012,País:: Brasil,"João é um homem que encontra na estrada uma saída para esquecer os dramas de seu passado. Por acaso ou sorte, seu caminho se cruza com o de um menino em busca do pai que nunca conheceu. A partir desse encontro, nasce uma relação que movimentará o equilíbrio construído por João para enfrentar seus fantasmas.",102,Drama,"
Breno Silveira ","
João Miguel, Vinicius Nascimento, Ângelo Antônio "
27,A busca,Año: 2013,País:: Brasil,"Médico, filho de um pai ausente, pega a estrada para procurar o filho que desapareceu.",Largometraje,"
Luciano Moura ",http://abuscaofilme.com.br/,
28,A Casa da Mãe Joana,Año: 2009,País:: Brasil,"José Wilker (Juca) Paulo Betti , Antônio Pedro (Montanha) Pedro Cardoso (Vavá) Malu Mader , Juliana Paes , Arlete Salles (Cantora lírica) Laura Cardoso , Agildo Ribeiro ",Largometraje,"
Hugo Carvana de Hollanda  ","
Paulo Halm ","
José Wilker (Juca) Paulo Betti , Antônio Pedro (Montanha) Pedro Cardoso (Vavá) Malu Mader , Juliana Paes , Arlete Salles (Cantora lírica) Laura Cardoso , Agildo Ribeiro  "
29,A casa elétrica,Año: 2014,País:: Brasil,"O filme conta a história da primeira fábrica porto-alegrense de gramofones, chamada CASA A ELECTRICA, fundada pelo imigrante italiano Savério Leonetti, no ano de 1913.",114,Drama,"
Gustavo Fogaça  ","
Nicola Siri, Jean Pierre Noher, Carmela Paglioli, André di Mauro e Juan Arena  "
30,A Casa Verde,Año: 2010,País:: Brasil,Seguinos en:,Largometraje,"
Paulo Nascimento ","
Paulo Nascimento ",www.filmeacasaverde.com.br
31,A cidade é uma só?,Año: 0000,País:: Brasil,"Reflexão sobre os 50 anos de Brasília, tendo como foco a discussão sobre o processo permanente de exclusão territorial e social que uma parcela considerável da população do Distrito Federal e do Entorno sofre, e de como essas pessoas restabelecem a ordem social através do cotidiano. O ponto de partida dessa reflexão é a chamada Campanha de Erradicação de Invasões (CEI), que, em 1971, removeu os barracos que ocupavam os arredores da então jovem Brasília. Tendo a CEILÂNDIA como referência histórica, os personagens do filme vivem e presenciam as mudanças da cidade.",73,Documental,"
Adirley Queirós ",https://www.youtube.com/watch?v=w-m_6JnpzKs
32,A Coleção Invisível,Año: 2012,País:: Brasil,"Para resolver a crise financeira da loja de antiguidades de sua família, Beto se aventura ao interior da Bahia em busca de uma coleção de gravuras raras. Ali ele encontra Samir, o colecionador, e a sua família arruinada pela decadência das plantações de cacau. O encontro o fará mergulhar na sua própria historia familiar e mudar sua visão do mundo.",HD,Largometraje,Drama,"
Bernard Attal "
33,A Dança da Vida,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Juan Zapata ","
Juan Zapata ",
34,À Deriva,Año: 2009,"País:: Brasil, Unidos Estados Unidos",Seguinos en:,Largometraje,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
",
35,A Dos Tintas,Año: 2007,País:: Argentina,"Federico Figueroa es un escritor de 40 años que sufre de esquizofrenia. Luego de haber sido dado de alta en el hospital neuropsiquiátrico, comienza a escribir una novela ambientada en la Argentina de 1847, en el cual, encarna a un profesor de pintura que se enamora de una de sus alumnas, llamada Mercedes. Luego que un interno del hospital dibuja en una hoja a Mercedes idéntica a como él la imaginó, Federico comienza a obsesionarse con este personaje, llegando a confundir la realidad con la ficción, al extremo de emprender una búsqueda desesperada por hallar a su amada.",78,Ficción,"
Walter Becker,             Lucas Di Santo ",
36,A Erva do Rato,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Júlio Bressane  ","
Júlio Bressane ,             Rosa Dias ",
37,A farra do Circo,Año: 2014,País:: Brasil,"A geração que formou o Circo Voador, a usina de sonhos. Do calçadão do Arpoador em 1982 até sua viagem para a Copa do México em 1986, passando por uma noite inesquecível na Lapa, o filme mostra a geração que revolucionou a cena cultural brasileira.",DCP,Largometraje,Documental,"
Roberto Berliner  "
38,A Festa da Menina Morta,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Matheus Nachtergaele  ","
Matheus Nachtergaele ,             Hilton Lacerda ",
39,A Floresta de Jonathas,Año: 2013,País:: Brasil,"Jonathas vive com os pais e o irmão, Juliano, em um sítio na área rural do Amazonas. Os irmãos conhecem Milly, uma visitante da Ucrânia, e o indígena Kedassere. O grupo decide então passar o fim de semana em um camping. Mesmo contra a vontade paterna, seduzido por Milly e pela floresta, Jonathas empreende a mais transformadora de suas jornadas.",35mm,Largometraje,Drama,"
Sérgio Andrade "
40,A grande vitória,Año: 2014,País:: Brasil,Garoto abandonado pelo pai na infância encontra no judô um caminho para superar as dificuldades que a vida lhe impôs.,88,Documental,"
 Cleisson Vidal ",www.youtube.com/watch?v=j14jcNMXh4w
41,A Guerra Dos Rocha,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Jorge Fernando ","
Maria Carmem Barbosa ",www.aguerradosrocha.com.br/site/
42,A história da eternidade,Año: 2015,País:: Brasil,"Em um pequeno vilarejo no Sertão, três histórias de amor e desejo revolucionam a paisagem afetiva de seus moradores. Personagens de um mundo romanesco, no qual suas concepções da vida estão limitadas, de um lado pelos instintos humanos, do outro por um destino cego e fatalista.",120,Ficción,"
Camilo Cavalcante ","
Irandhir Santos, Claudio Jaborandy, Leonardo França, Marcélia Cartaxo, Zezita Matos, Maxwell Nascimento, Debora Ingrid "
43,A história do homem Henry Sobel,Año: 2014,País:: Brasil,"A trajetória de um dos mais intrigantes líderes religiosos do Brasil, desde sua chegada ao país até os dias atuais. O retrato de um homem sábio e religioso, porém complexo e demasiadamente humano.",90,Documental,"
André Bushatsky ",www.youtube.com/watch?v=QG5jthpXYCU
44,A Ilha da Morte,Año: 2009,"País:: Brasil, Cuba, España",Seguinos en:,Largometraje,"
Wolney Oliveira ","
Manuel Rodríguez,             Alfonso Zarauza,             Arturo Infante ",
45,A Ilha dos Escravos,Año: 2008,"País:: Brasil, Cabo Verde, España, Portugal",Seguinos en:,Largometraje,"
Francisco Manso ","
António Torrado ",
46,A la Cantábrica,Año: 2012,País:: Argentina,"En un barrio de Buenos Aires, a fines de los noventa, cuatro amigos atraviesan el difícil paso a laadolescencia. Lola se siente oprimida por sus clases ortodoxas de balet. Choco debe empezar acuidar a su abuela enferma, con quien vive. Lija comienza a manifestar sus primeras inquietudessexuales y Zota se siente atraído por una actriz no vidente mayor a él. En La Cantábrica, una fábricarecientemente abandonada, deberán enfrentarse a una situación límite que los desestabilizarácomo grupo y transformará sus vidas.",Video,Largometraje,Drama,"
Ezequiel Erriquez "
47,A la deriva,Año: 2012,País:: Argentina,"Ramón Antúnez, un peón de aserradero de la provincia de Misiones, es despedido de su trabajo.Agobiado por problemas económicos, es seducido por su compadre Antonio, un experimentadopescador, a participar de un pase de marihuana desde Paraguay, a través del río, para Leiva,un reconocido narcotraficante de la zona. Antonio ha hecho este trabajo anteriormente para elnarcotraficante y le asegura a Ramón que no traerá mayores complicaciones. Pero la noche delpase no todo saldrá según lo planeado y Leiva buscará revancha.",35mm,Largometraje,Comedia Dramática,"
Fernando Pacheco "
48,A luz do Tom,Año: 2013,País:: Brasil,"O extraordinário universo musical de Antonio Carlos Jobim não cabe em apenas um filme. Foi com esse pensamento e com aguçada sensibilidade que o diretor Nelson Pereira dos Santos realizou dois filmes sobre Tom Jobim, considerado, um dos maiores expoentes de todos os tempos da música brasileira. ",DCP,Largometraje,Documental,"
Nelson Pereira dos Santos "
49,A Margem Da Linha ,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Gisella Callas  ","
Gisella Callas  ",
50,A memória que me contam,Año: 2013,"País:: Argentina, Brasil, Chile","Um drama irônico sobre utopias derrotadas, terrorismo, comportamento sexual e a construção de um mito. Um grupo de amigos, que resistiram à ditadura militar, e seus filhos vão enfrentar o conflito entre o cotidiano de hoje e o passado quando um deles está morrendo.",35mm,Largometraje,Drama,"
Lucía Murat "
51,A mi me gusta,Año: 2008,País:: Venezuela,"Margarita García sueña con ser una gran chef, pero para ella el éxito no está en su país. Así que deja Venezuela para irse a Londres, donde se estrella contra una realidad muy distinta. De vuelta a su cocina caraqueña, le toca empezar desde cero. Y justo cuando su estima se viene al piso, parece tener otra oportunidad: Paul Welsare, el chef inglés que tanto admiró en sus pasantías londinenses, viene al restaurante donde ella trabaja. Si obtiene una recomendación de él, tendrá en sus manos el pasaporte al éxito. Pero Margarita y Paul son polos opuestos. ",Comedia Romántica,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
",
52,A Morte Inventada - Alienação Parental ,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Alan Minas ","
Alan Minas ",www.amorteinventada.com.br
53,A Mulher Do Meu Amigo,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Cláudio Torres  ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
54,A Mulher Invisível,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Cláudio Torres  ","
Cláudio Torres  ",
55,A Música Segundo Tom Jobim,Año: 2012,País:: Brasil,"A trajetória musical do grande compositor brasileiro, autor de uma obra eterna, de alcance internacional. Um caminho sensorial de imagem e som, escolhido para exibir o trabalho de um artista considerado um dos maiores expoentes de todos os tempos da música brasileira.",82,Documental,"
Dora Jobim,              Nelson Pereira dos Santos ","
Frank Sinatra, Gilberto Gil, Maysa, Tom Jobim "
56,A nave - Uma viagem com jazz sinfônica de SP,Año: 2013,País:: Brasil,"Este documentário de longa metragem mostra cinco anos de gravações e de convívio com a orquestra mais original do Brasil, talvez do mundo: a Jazz Sinfônica de São Paulo. Excelência da música popular do planeta, da música viva e inclassificável, com uma roupagem sinfonica. O filme apresenta 90 músicos em suas rotinas de trabalho com imagens e sons muito próximos e vibrantes, dentre eles o maestro Cyro Pereira. Um filme original num emocionado encontro entre cinema e a música. Uma “sincromia” de luzes e sons que renova o olhar para os filmes musicais. Nesta mágica dimensão os personagens compõem sua própria trilha sonora.",86,Documental,"
Luiz Otavio de Santi ",https://www.facebook.com/anavejazzsinfonica
57,A noite da virada,Año: 2014,País:: Brasil,"Ana quer dar a festa de ano novo perfeita. Duda quer dar o fora em Ana. Sofia quer dar a volta por cima e desencalhar ainda este ano. Alê só quer dar. Paulo quer acertar as contas com Rica. Mário só aceitou passar na festa por educação. Rosa, esposa de Mário, só quer que a noite acabe logo... Tudo pode acontecer na noite de Réveillon. E eles estão prontos para tudo, menos para o que realmente acontece.",90,Comedia,"
Fábio Mendonça ","
Júlia Rabello, Luana Piovani, Marcos Palmeira, Paulo Tiefenthaler, Martha Nowill, Luana Martau, João Vicente Castro. "
58,A Novela das 8,Año: 2012,País:: Brasil,"Ainda sob a ditadura militar do presidente Ernesto Geisel, o Brasil sucumbe à discoteca graças ao enorme sucesso da novela Dancin’ Days. Amanda e Dora fogem de São Paulo depois de um incidente e partem pro Rio de Janeiro, onde são perseguidas por um policial federal.",108,Drama,"
Odilon Rocha ","
Claudia Ohana, André Ramiro, Vanessa Giácomo "
59,A onda da vida - Uma história de amor e surf,Año: 2014,País:: Brasil,"Os amigos surfistas Joe, Thiago e Jamaica partem para uma viagem do Rio de Janeiro em direção a Itacaré, na Bahia. No meio do caminho, são obrigados a parar no Espírito Santo – e precisam refletir sobre suas próprias vidas, a amizade e o amor.",84,Acción - Aventuras - Ciencia Ficción,"
José Augusto Muleta,             Raphael Gasparini ","
Omar Docena, Caio Vaz e Guilherme Tripa "
60,A Outra Margem,Año: 2008,"País:: Brasil, Portugal",Seguinos en:,106,Drama,"
Luís Filipe Rocha ","
Luís Filipe Rocha "
61,A pelada,Año: 2014,"País:: Bélgica, Brasil","Um jovem casal tenta reinventar sua vida sexual em crise, enfrentando situações constrangedoras e cômicas.",84,Comedia,"
Damien Chemin ","
Bruno Pêgo, Kika Farias, Tuca Andrada "
62,"A primeira missa ou tristes tropeços, enganos e urucum",Año: 2014,"País:: Brasil, Portugal","Um grupo de cineastas tenta reconstruir um marco na história do Brasil: a primeira missa. O diálogo dos portugueses e dos índios, refletindo sobre o futuro do país, contrasta com os diálogos dos membros da equipe de filmagem, que comentam a situação política do Brasil atual.",90,Comedia,"
Ana Carolina Teixeira ","
Alessandra Maestrini, Oscar Magrini, Dagoberto Feliz "
63,A puro gesto,Año: 2011,País:: Argentina,"Después de diez años tocando en una orquesta típica de tango de Brasil encara un viaje a las raícesdel género. Una búsqueda sobre lo que significa la música popular que llegó a ser patrimonio dela humanidad. De Puro Guapos pasa diez años tocando y difundiendo el género por Brasil, pero noalcanza con escuchar los discos y leer las partituras, necesitan conocer el mundo en el que el tangosurgió. A Puro Gesto es un recorrido por la historia y el alma de la música, la poesía y el baile.Bares, peñas, milongas, lugares y personajes que ya no sólo hacen, son tango.",Largometraje,"
Gabriel Reich ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
64,À queima roupa,Año: 2014,País:: Brasil,"O documentário, investigativo, mostra a violência e a corrupção da polícia do Rio de Janeiro nos últimos 20 anos.",DCP,Largometraje,Documental,"
Theresa Jessouroun "
65,A última estação,Año: 2013,"País:: Brasil, Líbano","Setembro de 2001: O velho muçulmano Tarik perde a mulher e precisa cumprir algumas promessas, antes de morrer. Abandona tudo e atravessa o Brasil, na companhia da filha Samia, em busca dos meninos que fizeram com ele a travessia, 51 anos antes. Cada parada desta longa viagem revelará uma verdade-fabulosa de mais de 1001 noites.",HD,Largometraje,Ficción,"
Marcio Curi "
66,A Un Metro De Ti ,Año: 2008,País:: Chile, Fele Martínez   Claudia Cabezas   Mercé Llorens   Katyna Huberman   Jorge Yáñez   Rodolfo Vázquez   Pablo Krögh   Gabriela Hernández ,94,"
Daniel Henríquez  ","
Daniel Henríquez ","
 Fele Martínez   Claudia Cabezas   Mercé Llorens   Katyna Huberman   Jorge Yáñez   Rodolfo Vázquez   Pablo Krögh   Gabriela Hernández  "
67,"Aballay, el hombre sin miedo",Año: 2010,País:: Argentina,"Aballay era un gaucho mal llevado: resentido, ladrón, asesino. Pero la imagen que devuelve unespejo hace que una persona se replantee toda su vida. Luego de matar salvajemente a un hombre,la mirada aterrorizada del hijo de su víctima le da brutal conciencia de su salvajismo y falta dehumanidad, llenándolo de confusión y horror por sí mismo. La mirada de aquel niño no lo abandona,y él sabe que en cualquier momento lo va a buscar... Y lo va a encontrar.",101,Drama,"
Fernando Spiner ",www.aballaypelicula.com.ar
68,Abandonados,Año: 2009,País:: Chile,  César Rojas   Rubén Pacheco   María Alicia Peña   Vivianne Compagnon   Humberto Figueroa   Pedro Valdés ,90,"
David Contreras ","
David Contreras ","
  César Rojas   Rubén Pacheco   María Alicia Peña   Vivianne Compagnon   Humberto Figueroa   Pedro Valdés  "
69,Abrigate,Año: 2008,"País:: Argentina, España","La vida de Valeria da un vuelco al fallecer su amante Yves, mucho mayor que ella. La ayudarán a superar la situación sus peculiares vecinos, junto con el hijo de Yves y su propio padre, que regresa de Argentina dispuesto a comenzar de nuevo en la tierra que abandonó de niño.",88,Ficción,"
Ramón Costafreda ",
70,Abyali,Año: 2008,"País:: Argentina, Camerún","S. Manga, W. Ombe, I. Mbende, P. Nguini, Zorobabel P. Albin,Dada Manu, Venant Ntiomo",Largometraje,"
Matías Pablo Saccomanno ","
Matías Pablo Saccomanno ","
Matías Pablo Saccomanno "
71,Acá Adentro,Año: 2013,País:: Argentina,"David está triste porque lo acaba de dejar su novia, Martina. David está en la cama y noquiere levantarse. David tiene que escribir pero no le sale. David se baña, cocina y trata deescribir. David visita a su psicoanalista y trata de entender un sueño que tuvo. ¿Qué pasócon Martina?. David sale a la calle e intenta despejarse. David se hace muchas preguntas,pero no encuentra demasiadas respuestas. David tiene casi 25 años y le tiene miedo ala oscuridad.",DCP,Largometraje,Drama,"
Mateo Bendesky "
72,Accidentes gloriosos,Año: 2011,País:: Argentina,"Los accidentes automovilísticos son esculturas artísticas instantáneas, hechas en segundos, al menos para un cierto fotógrafo bonaerense que pasa las noches en su auto, en busca del accidente perfecto. Otro hombre trata de encontrar al legendario mamón que se encuentra en una de las oscuras piezas de un sex club. Las historias se desenvuelven, del hombre que tiene un transplante cardíaco y despierta con extraños poderes artísticos, a la mujer que recibe la última carta de su marido, escrita justo antes de morir congelado en una de las expediciones polares más dramáticas de la historia.",60,Drama,"
Marcus Lindeen,             Mauro Andrizzi ","
Cristina Benegas, Lorena Damonte, Ignacio Catoggio, Alberto Suarez, Lili Popovich "
